artist_name,title,format,award_month,award_day,award_year,award_type,type
Rickie Lee Jones,Flying Cowboys,Album ,September,18,1997,Gold,Standard
Rickie Lee Jones,Pirates ,Album,September,30,1981,Gold,Standard
Rickie Lee Jones,Rickie Lee Jones,Album,May,22,1979,Gold,Standard
Rickie Lee Jones,Rickie Lee Jones,Album,August,7,1979,Platinum,Standard
Christopher Cross,Christopher Cross,Album,August,17,1980,5x Platinum,Standard
Christopher Cross,Christopher Cross,Album,October,22,1980,4x Platinum,Standard
Christopher Cross,Christopher Cross,Album,August,19,1980,Platinum,Standard
Christopher Cross,Christopher Cross,Album,May,6,1980,Gold,Standard
Christopher Cross,Another Page,Album,March,29,1993,Gold,Standard
Christopher Cross,Arthur’s Theme (The Best You Can Do),Single,January,7,1982,Gold,Standard
Sheena Easton ,"Duets (with Kim Karnes, Dottie West Sheena Easton)",Album,August,27,1997,Platinum,Standard
Sheena Easton ***,"Duets (with Kim Karnes, Dottie West Sheena Easton)",Album,August,27,1997,Gold,Standard
Sheena Easton ,The Lover In Me,Album,April,20,1989,Gold,Standard
Sheena Easton ,Do You,Album,December,30,1985,Gold,Standard
Sheena Easton ,A Private Heaven,Album,March,15,1985,Platinum,Standard
Sheena Easton ,A Private Heaven,Album,November,21,1984,Gold,Standard
Sheena Easton ,You Could Have Been With Me,Album,October,1,1984,Gold,Standard
Sheena Easton ,Sheena Easton,Album,October,12,1981,Gold,Standard
Sheena Easton ,Morning Train ,Single,May,8,1981,Gold,Standard
Men At Work,Down Under,Single,September,25,2001,Platinum,Standard
Men At Work,Down Under,Single,February,25,1983,Gold,Standard
Men At Work,Cargo,Album,November,21,1994,3x Platinum,Standard
Men At Work,Cargo,Album,October,19,1984,2x Platinum,Standard
Men At Work,Cargo,Album,June,20,1983,Platinum,Standard
Men At Work,Cargo,Album,June,20,1983,Gold,Standard
Men At Work,Business As Usual,Album,October,21,1994,6x Platinum,Standard
Men At Work,Business As Usual,Album,April,29,1991,5x Platinum,Standard
Men At Work,Business As Usual,Album,October,19,1984,4x Platinum,Standard
Men At Work,Business As Usual,Album,November,22,1982,Platinum,Standard
Men At Work,Business As Usual,Album,October,22,1982,Gold,Standard
Men At Work,Two Hearts,Album,September,11,1985,Gold,Standard
Cyndi Lauper,All Through The NIght,Single,October,13,2023,Gold,Digital
Cyndi Lauper,Girls Just Want To Have Fun,Single,October,13,2023,6x Platinum,Standard
Cyndi Lauper,Girls Just Want To Have Fun,Single,April,17,1989,Platinum,Standard
Cyndi Lauper,Girls Just Want To Have Fun,Single,April,2,1984,Gold,Standard
Cyndi Lauper,She’s So Unusual,Album,October,13,2023,7x Platinum,Standard
Cyndi Lauper,She’s So Unusual,Album,February,28,1997,6x Platinum,Standard
Cyndi Lauper,She’s So Unusual,Album,December,4,1991,5x Platinum,Standard
Cyndi Lauper,She’s So Unusual,Album,March,12,1985,4x Platinum,Standard
Cyndi Lauper,She’s So Unusual,Album,October,30,1984,2x Platinum,Standard
Cyndi Lauper,She’s So Unusual,Album,May,7,1984,Platinum,Standard
