year,award_category,artist_name
1985,Pop/Rock Male,Lionel Richie
1985,Pop/Rock Male Video,Lionel Richie
1985,Pop/Rock Single,Bruce Springsteen “Dancing In The Dark”
1985,Pop/Rock Single Video,Lionel Richie “Hello”
1985,Black Group Video,The Pointer Sisters
1985,Black Male,Lionel Richie
1985,Black Male Video,Lionel Richie
1985,Black Single,Prince “When Doves Cry”
1985,Black Single Video,Lionel Richie “Hello”
1985,Country Album,Kenny Rogers “Eyes That See In The Dark”
1985,Country Female,Barbara Mandrell
1985,Country Female Video,Anne Murray
1985,Country Group,Alabama
1985,Country Group Video,The Oak Ridge Boys
1985,Country Male,Kenny Rogers
1985,Country Male Video,Willie Nelson
1985,Country Single (Duet),Dolly Parton With Kenny Rogers
1985,Country Single (Duet),Kenny Rogers With Dolly Parton
1985,Country Single Video,Anne Murray “A Little Good News”
1985,Pop/Rock Album,Prince “Purple Rain”
1985,Pop/Rock Female,Cyndi Lauper
1985,Pop/Rock Female Video,Cyndi Lauper
1985,Pop/Rock Group,Hall & Oates
1985,Pop/Rock Group Video,Huey Lewis & The News
1985,Award Of Merit,Loretta Lynn
1985,Black Album,Prince “Purple Rain”
1985,Black Female,Tina Turner
1985,Black Female Video,Tina Turner
1985,Black Group,The Pointer Sisters
1986,Pop/Rock Group,Chicago
1986,Pop/Rock Group Video,Wham
1986,Pop/Rock Male,Bruce Springsteen
1986,Pop/Rock Male Video,Bruce Sprinsteen
1986,Pop/Rock Single,Huey Lewis & The News “The Power Of Love”
1986,Pop/Rock Single Video,Huey Lewis & The News “The Power Of Love”
1986,Soul/R&B Album,Kool & The Gang “Emergency”
1986,Soul/R&B Female,Aretha Franklin
1986,Soul/R&B Female Video,Aretha Franklin
1986,Soul/R&B Group,Kool & The Gang
1986,Soul/R&B Group Video,The Pointer Sisters
1986,Soul/R&B Male,Stevie Wonder
1986,Soul/R&B Male Video,Stevie Wonder
1986,Soul/R&B Single,Whitney Houston “You Give Good Love”
1986,Soul/R&B Single Video,Whitney Houston “Saving All My Love For You”
1986,Award Of Appreciation: Band-Aid,Bob Geldof
1986,Award Of Appreciation: Farm-Aid,Willie Nelson
1986,Award Of Appreciation: We Are The World,Harry Belafonte
1986,Award Of Merit,Paul Mccartney
