date,award_name,artist_name,win
1985-01-28,Favorite Country Album,Kenny Rogers,Yes 
1985-01-28,Favorite Country Album,Ricky Skaggs,No 
1985-01-28,Favorite Country Album,Alabama,No 
1985-01-28,Favorite Country Band/Duo/Group,Alabama,Yes 
1985-01-28,Favorite Country Band/Duo/Group,The Statler Brothers,No 
1985-01-28,Favorite Country Band/Duo/Group,The Oak Ridge Boys,No 
1985-01-28,Favorite Country Band/Duo/Group Video Artist,The Oak Ridge Boys,Yes 
1985-01-28,Favorite Country Band/Duo/Group Video Artist,The Statler Brothers,No 
1985-01-28,Favorite Country Band/Duo/Group Video Artist,"Hank Williams Jr., Waylon Jennings",No 
1985-01-28,Favorite Country Female Artist,Barbara Mandrell,Yes 
1985-01-28,Favorite Country Female Artist,Dolly Parton ,No 
1985-01-28,Favorite Country Female Artist,Anne Murray, No
1985-01-28,Favorite Country Female Video Artist,Anne Murray,Yes 
1985-01-28,Favorite Country Female Video Artist,Gus Hardin,No 
1985-01-28,Favorite Country Female Video Artist,Charly McClain,No 
1985-01-28,Favorite Country Male Artist,Kenny Rogers,Yes 
1985-01-28,Favorite Country Male Artist,Ricky Skaggs,No 
1985-01-28,Favorite Country Male Artist,Hank Williams Jr.,No 
1985-01-28,Favorite Country Male Video Artist,Willie Nelson,Yes 
1985-01-28,Favorite Country Male Video Artist,Waylon Jennings,No 
1985-01-28,Favorite Country Male Video Artist,Hank Williams Jr.,No 
1985-01-28,Favorite Country Song,"Kenny Rogers, Dolly Parton",Yes 
1985-01-28,Favorite Country Song,The Judds,No 
1985-01-28,Favorite Country Song,Anne Murray,No 
1985-01-28,Favorite Country Video,Anne Murray,Yes 
1985-01-28,Favorite Country Video,Willie Nelson,No 
1985-01-28,Favorite Country Video,The Statler Brothers,No 
1985-01-28,Favorite Pop/Rock Album,Prince,Yes 
1985-01-28,Favorite Pop/Rock Album,Michael Jackson,No 
1985-01-28,Favorite Pop/Rock Album,Lionel Richie,No 
1985-01-28,Favorite Pop/Rock Band/Duo/Group,"Daryl Hall, John Oates",Yes 
1985-01-28,Favorite Pop/Rock Band/Duo/Group,Van Halen,No 
1985-01-28,Favorite Pop/Rock Band/Duo/Group,Huey Lewis & The News,No 
1985-01-28,Favorite Pop/Rock Band/Duo/Group Video Artist,Huey Lewis & The News,Yes 
1985-01-28,Favorite Pop/Rock Band/Duo/Group Video Artist,Duran Duran,No 
1985-01-28,Favorite Pop/Rock Band/Duo/Group Video Artist,Culture Club,No 
1985-01-28,Favorite Pop/Rock Female Artist,Cyndi Lauper,Yes 
1985-01-28,Favorite Pop/Rock Female Artist,Madonna,No 
1985-01-28,Favorite Pop/Rock Female Artist,Lina Ronstadt,No 
1985-01-28,Favorite Pop/Rock Female Video Artist,Cyndi Lauper,Yes 
1985-01-28,Favorite Pop/Rock Female Video Artist,Tina Turner,No 
1985-01-28,Favorite Pop/Rock Female Video Artist,Laura Branigan,No 
1985-01-28,Favorite Pop/Rock Male Artist,Lionel Richie,Yes 
1985-01-28,Favorite Pop/Rock Male Artist,Prince,No 
1985-01-28,Favorite Pop/Rock Male Artist,Bruce Springsteen,No 
1985-01-28,Favorite Pop/Rock Male Video Artist,Lionel Richie,Yes 
1985-01-28,Favorite Pop/Rock Male Video Artist,Prince,No 
1985-01-28,Favorite Pop/Rock Male Video Artist,Bruce Springsteen,No 
1985-01-28,Favorite Pop/Rock Song,Bruce Springsteen,Yes 
1985-01-28,Favorite Pop/Rock Song,Tina Turner,No 
