award_year,artist_name
1980,Rickie Lee Jones
1981,Christopher Cross
1982,Sheena Easton
1983,Men At Work
1984,Culture
1985,Cyndi Lauper
1986,Sade
1987,Bruce Hornsby & The Range
1988,Jody Watley
1989,Tracy Chapman
1990,Wind Beneath My Wings
1991,Mariah Carey
1992,Marc Cohn
1993,Arrested Development
1994,Toni Braxton
1995,Sheryl Crow
1996,Hootie & The Blowfish
1997,LeAnn Rimes
1998,Paula Cole
1999,Lauryn Hill
2000,Christina Aguilera
2001,Shelby Lynne
2002,Alicia Kets
2003,Norah Jones
2004,Evanescence
2005,Maroon 5
2006,John Legend
2007,Carrie Underwood
2008,Amy Winehouse
2009,Adele
2010,Zac Brown Band
2011,Esperanza Spalding
2012,Bon Iver
2013,Fun.
2014,Macklemore & Ryan Lewis
2015,Sam Smith
2016,Meghan Trainor
2017,Chance The Rapper
2018,Alessia Cara
2019,Dua Lipa
2020,Billie Eilish
2021,Megan Thee Stallion
2022,Olivia Rodrigo
