year,award_category,artist_name,win
1985,Best Art Direction In a Video,Don Henley,Yes
1985,Best Art Direction In a Video,Culture Club,No
1985,Best Art Direction In a Video,Madonna,No
1985,Best Art Direction In a Video,Peter Brown ,No
1985,Best Art Direction In a Video,Simple Minds,No
1985,Best Art Direction In a Video,Bryan Adams,No
1985,Best Choreography in a Video ,Elton John,Yes
1985,Best Choreography in a Video ,Madonna,No
1985,Best Choreography in a Video ,Prince and the Revolution,No
1985,Best Choreography in a Video ,Tina Turner,No
1985,Best Choreography in a Video ,Eurythmics,No
1985,Best Choreography in a Video ,Madonna,No
1985,Best Choreography in a Video ,Sheila E.,No
1985,Best Cinematography in a Video,Don Henley,Yes 
1985,Best Cinematography in a Video,Bryan Adams,No 
1985,Best Cinematography in a Video,Bryan Adams,No 
1985,Best Cinematography in a Video,Lindsey Buckingham,No 
1985,Best Cinematography in a Video,Madonna,No 
1985,Best Concept Video,Glenn Frey,Yes 
1985,Best Concept Video,Don Henley,No 
1985,Best Concept Video,Tom Petty and the Heartbreakers,No 
1985,Best Concept Video,David Lee Roth,No 
1985,Best Concept Video,Frankie Goes to Hollywood,No 
1985,Best Direction in a Video,Don Henley,Yes 
1985,Best Direction in a Video,Chris Isaak,No 
1985,Best Direction in a Video,Simple Minds,No 
1985,Best Direction in a Video,Toto,No 
1985,Best Direction in a Video,Bryan Adams,No 
1985,Best Direction in a Video,Duran Duran,No 
1985,Best Direction in a Video,Tom Petty and the Heartbreakers,No 
1985,Best Editing in a Video,The Art of Noise,Yes 
1985,Best Editing in a Video,Eurythmics,No 
1985,Best Editing in a Video,Lindsey Buckingham,No 
1985,Best Editing in a Video,Bryan Adams,No 
1985,Best Editing in a Video,Lindsey Buckingham,No 
1985,Best Female Video,Tina Turner,Yes 
1985,Best Female Video,Madonna,No 
1985,Best Female Video,Sheila E.,No 
1985,Best Female Video,Cyndi Lauper,No 
1985,Best Female Video,Sade,No 
1985,Best Group Video ,USA for Africa,Yes 
1985,Best Group Video ,Huey Lewis and the News,No 
1985,Best Group Video ,U2,No 
1985,Best Group Video ,Eurythmics,No 
1985,Best Group Video ,The Cars,No 
1985,Best Male Video,Bruce Springsteen,Yes 
1985,Best Male Video,David Lee Roth,No 
1985,Best Male Video,Glenn Frey,No 
1985,Best Male Video,David Lee Roth,No 
1985,Best Male Video,Don Henley,No 
1985,Best New Artist in a Video,Til Tuesday,Yes 
1985,Best New Artist in a Video,Julian Lennon,No 
1985,Best New Artist in a Video,Sheila E.,No 
1985,Best New Artist in a Video,Frankie Goes to Hollywood,No 
1985,Best New Artist in a Video,Sade,No 
1985,Best Overall Performance in a Video,Philip Bailey Feat. Phil Collins,Yes 
1985,Best Overall Performance in a Video,David Lee Roth,No
1985,Best Overall Performance in a Video,USA for Africa,No
1985,Best Overall Performance in a Video,Bruce Springsteen,No
1985,Best Overall Performance in a Video,Eurythmics,No
1985,Best Special Effects in a Video ,Tom Petty and the Heartbreakers,Yes 
1985,Best Special Effects in a Video ,Culture Club,No 
1985,Best Special Effects in a Video ,Lindsey Buckingham,No 
1985,Best Special Effects in a Video ,Bryan Adams,No 
1985,Best Special Effects in a Video ,Lindsey Buckingham,No 
1985,Best Stage Performance in a Video ,Bruce Springsteen,Yes 
1985,Best Stage Performance in a Video ,Eurythmics,No 
1985,Best Stage Performance in a Video ,Tina Turner,No 
1985,Best Stage Performance in a Video ,David Bowie,No 
1985,Best Stage Performance in a Video ,Talking Heads,No 
1985,Most Experimental Video ,The Art of Noise,Yes
1985,Most Experimental Video ,Lindsey Buckingham,No 
1985,Most Experimental Video ,Lone Justice,No 
1985,Most Experimental Video ,Chris Isaak,No 
1985,Most Experimental Video ,Lindsey Buckingham,No 
1985,Video of the Year ,Don Henley,Yes 
1985,Video of the Year ,David Lee Roth,No 
1985,Video of the Year ,USA for Africa,No 
1985,Video of the Year ,David Lee Roth,No 
1985,Video of the Year ,Tom Petty and the Heartbreakers,No 
1985,Viewer’s Choice,USA for Africa,Yes
1985,Viewer’s Choice,David Lee Roth,No 
1985,Viewer’s Choice,Tom Petty and the Heartbreakers,No 
1985,Viewer’s Choice,David Lee Roth,No 
1985,Viewer’s Choice,Don Henley,No 
1985,Video Vanguard Award,David Byrne,Yes 
1985,Video Vanguard Award,Russell Mulcahy,Yes 
1985,Video Vanguard Award,"Godley & Creme, Kevin Godley, Lol Creme",Yes 
1985,Special Recognition Award,Bob Geldof,Yes 
1986,Best Art Direction In a Video,ZZ Top,Yes 
1986,Best Art Direction In a Video,A-ha,No 
1986,Best Art Direction In a Video,Dire Straits,No 
1986,Best Art Direction In a Video,Honeymoon Suite,No 
1986,Best Art Direction In a Video,Pat Benatar,No 
1986,Best Choreography in a Video ,Prince and the Revolution,Yes 
1986,Best Choreography in a Video ,Madonna,No 
1986,Best Choreography in a Video ,Pat Benatar,No 
1986,Best Choreography in a Video ,Madonna,No 
1986,Best Choreography in a Video ,Morris Day,No 
1986,Best Cinematography in a Video,A-ha,Yes 
1986,Best Cinematography in a Video,Pat Benatar,No 
1986,Best Cinematography in a Video,ZZ Top,No 
1986,Best Cinematography in a Video,Joe Walsh,No 
1986,Best Cinematography in a Video,X,No 
1986,Best Concept Video,A-ha,Yes 
1986,Best Concept Video,Godley & Creme,No 
1986,Best Concept Video,Talking Heads,No 
1986,Best Concept Video,Dire Straits,No 
1986,Best Concept Video,Talking Heads,No 
1986,Best Direction in a Video,A-ha,Yes 
1986,Best Direction in a Video,Pat Benatar,No
1986,Best Direction in a Video,ZZ Top,No
1986,Best Direction in a Video,Dire Straits,No
1986,Best Direction in a Video,X,No
1986,Best Editing in a Video,A-ha,Yes 
1986,Best Editing in a Video,Pat Benatar,No 
1986,Best Editing in a Video,ZZ Top,No 
1986,Best Editing in a Video,Dire Straits,No 
1986,Best Editing in a Video,X,No 
1986,Best Female Video,Whitney Houston,Yes 
1986,Best Female Video,Grace Jones ,No 
1986,Best Female Video,Tina Turner ,No 
1986,Best Female Video,Aretha Franklin ,No 
1986,Best Female Video,Kate Bush ,No 
1986,Best Group Video ,Dire Straits,Yes 
1986,Best Group Video ,INXS,No 
1986,Best Group Video ,The Rolling Stones,No 
1986,Best Group Video ,A-ha,No 
1986,Best Group Video ,Talking Heads,No 
1986,Best Male Video,Robert Palmer,Yes 
1986,Best Male Video,Bryan Adams,No 
1986,Best Male Video,Sting,No 
1986,Best Male Video,Bruce Springsteen,No 
1986,Best Male Video,Phil Collins,No 
1986,Best New Artist in a Video,A-ha,Yes 
1986,Best New Artist in a Video,Simply Red,No 
1986,Best New Artist in a Video,Whitney Houston,No 
1986,Best New Artist in a Video,Pet Shop Boys,No 
1986,Best New Artist in a Video,The Hooters,No 
1986,Best Overall Performance in a Video,David Bowie Feat. Mick Jagger,Yes 
1986,Best Overall Performance in a Video,Dire Straits,No 
1986,Best Overall Performance in a Video,Sting ,No 
1986,Best Overall Performance in a Video,Bruce Springsteen,No 
1986,Best Overall Performance in a Video,Robert Palmer,No 
1986,Best Special Effects in a Video ,A-ha,Yes 
1986,Best Special Effects in a Video ,Pat Benatar,No 
1986,Best Special Effects in a Video ,ZZ Top,No 
1986,Best Special Effects in a Video ,Dire Straits,No 
1986,Best Special Effects in a Video ,X,No 
1986,Best Stage Performance in a Video ,Bryan Adams Feat. Tina Turner,Yes 
1986,Best Stage Performance in a Video ,Huey Lewis and the News,No 
1986,Best Stage Performance in a Video ,Robert Palmer,No 
1986,Best Stage Performance in a Video ,Dire Straits,No 
1986,Best Stage Performance in a Video ,Pete Townshend,No 
1986,Most Experimental Video ,A-ha,Yes 
1986,Most Experimental Video ,Pat Benatar,No 
1986,Most Experimental Video ,ZZ Top,No 
1986,Most Experimental Video ,Dire Straits,No 
1986,Most Experimental Video ,X,No 
1986,Video of the Year ,Dire Straits,Yes 
1986,Video of the Year ,Godley & Creme,No 
1986,Video of the Year ,Talking Heads,No 
1986,Video of the Year ,A-ha,No 
1986,Video of the Year ,Robert Palmer,No 
1986,Viewer’s Choice,A-ha,Yes 
1986,Viewer’s Choice,Godley & Creme,No 
1986,Viewer’s Choice,Talking Heads,No 
1986,Viewer’s Choice,Dire Straits,No 
1986,Viewer’s Choice,Robert Palmer,No 
1986,Video Vanguard Award,Madonna,Yes 
1986,Video Vanguard Award,Zbigniew Rybczynski,Yes 
1986,Special Recognition Award,Bill Graham,Yes 
1986,Special Recognition Award,Jack Healey ,Yes 
1987,Best Art Direction In a Video,Peter Gabriel,Yes 
1987,Best Art Direction In a Video,Genesis,No 
1987,Best Art Direction In a Video,Paul Simon ,No 
1987,Best Art Direction In a Video,Breakfast Club,No 
1987,Best Art Direction In a Video,Madonna,No 
1987,Best Choreography in a Video ,Janet Jackson ,Yes 
1987,Best Choreography in a Video ,Madonna,No 
1987,Best Choreography in a Video ,The Bangles,No 
1987,Best Choreography in a Video ,Janet Jackson ,No 
1987,Best Choreography in a Video ,Steve Winwood,No 
1987,Best Cinematography in a Video,Robbie Nevil,Yes 
1987,Best Cinematography in a Video,Madonna,No 
1987,Best Cinematography in a Video,U2,No 
